Date,Fallacy,Label,Subcategory,Context,full_sentence,long_fallacy
1984,And there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life.,AppealtoEmotion,Appeal to pity,"Certainly we can find a coffeepot that costs something less than $7,000. And there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life. And that's why the Congress, including the Republicans, have not gone along with the President's recommendations.",And there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life.,And there are other ways of squeezing this budget without constantly picking on our senior citizens and the most vulnerable in American life.
2000,"My friend, Phyllis Hunter, is here. She had one of the greatest lines of all lines. She said, reading is the new civil right. She's right.",AppealtoAuthority,False Authority,"In public education when we just move children through the schools. My friend, Phyllis Hunter, is here. She had one of the greatest lines of all lines. She said, reading is the new civil right. She's right. And to make sure our society is as hopeful as it possibly can be, every single child in America must be educated.","My friend, Phyllis Hunter, is here.","My friend, Phyllis Hunter, is here. She had one of the greatest lines of all lines. She said, reading is the new civil right. She's right."
2004,I will fight tooth and nail to pass the minimum wage.,AppealtoEmotion,Loaded Language,"And if we did that, we'd have more consumption ability in America, which is what we need right now in order to kick our economy into gear. I will fight tooth and nail to pass the minimum wage. Actually, Mitch McConnell had a minimum - wage plan that I supported that would have increased the minimum wage.",I will fight tooth and nail to pass the minimum wage.,I will fight tooth and nail to pass the minimum wage.
1984,"The American people see this debt, and they know it's got to come down.",AppealtoAuthority,Appeal to popular opinion,"And they want an American foreign policy that leads toward a safer world. The American people see this debt, and they know it's got to come down. And if it won't come down, the economy's going to slow down, maybe go into a recession.","The American people see this debt, and they know it's got to come down.","The American people see this debt, and they know it's got to come down."
1996,"We have people getting access to capital. Small businessmen and women, African - American, Asian Americans, Latino Americans, female Americans would be able to start their businesses.",AppealtoEmotion,Flag waving,"But capital would flow out into the economy. We have people getting access to capital. Small businessmen and women, African - American, Asian Americans, Latino Americans, female Americans would be able to start their businesses. Dana Crist of Lancaster said the day the tax bill is passed in Congress, she will open a new factory with 40 or 50 or 60 employees in Lancaster, Pennsylvania.",We have people getting access to capital.,"We have people getting access to capital. Small businessmen and women, African - American, Asian Americans, Latino Americans, female Americans would be able to start their businesses."
1996,"And you know this liberal charge, that's what their party always drags out when they get in a tight race. It's sort of their golden oldie, you know.",AppealtoEmotion,Loaded Language,"When Senator Dole made that remark about all the elitists, all the young elitists in the administration, one of the young men who works for me who grew up in a house trailer looked at me and said, Mr. President, I know how you grew up, who is he talking about. And you know this liberal charge, that's what their party always drags out when they get in a tight race. It's sort of their golden oldie, you know. It's a record they think they can play that everybody loves to hear.","And you know this liberal charge, that's what their party always drags out when they get in a tight race.","And you know this liberal charge, that's what their party always drags out when they get in a tight race. It's sort of their golden oldie, you know."
2004,The biggest threat we faced today is the possibility of terrorists smuggling a nuclear weapon or a biological agent into one of our own cities and threatening the lives of hundreds of thousands of Americans.,AppealtoEmotion,Appeal to fear,The effort that we've mounted with respect to Iraq focused specifically on the possibility that this was the most likely nexus between the terrorists and weapons of mass destruction. The biggest threat we faced today is the possibility of terrorists smuggling a nuclear weapon or a biological agent into one of our own cities and threatening the lives of hundreds of thousands of Americans. What we did in Iraq was exactly the right thing to do.,The biggest threat we faced today is the possibility of terrorists smuggling a nuclear weapon or a biological agent into one of our own cities and threatening the lives of hundreds of thousands of Americans.,The biggest threat we faced today is the possibility of terrorists smuggling a nuclear weapon or a biological agent into one of our own cities and threatening the lives of hundreds of thousands of Americans.
1996,"So after Speaker Gingrich and Senator Dole took over the Congress, I went to New Hampshire and a man suggested -- a gentleman that unfortunately just passed away a couple of days ago, suggested that we appoint a commission. And I shook hands with him on it and I appointed my members, and the commission never met.",AppealtoEmotion,Appeal to pity,"That was certainly the case from the minute I got there. So after Speaker Gingrich and Senator Dole took over the Congress, I went to New Hampshire and a man suggested -- a gentleman that unfortunately just passed away a couple of days ago, suggested that we appoint a commission. And I shook hands with him on it and I appointed my members, and the commission never met. And then Senator Dole's ardent supporters, Senator McCain, who's out there today, along with Senator Feingold, supported, sponsored a campaign finance reform proposal.","So after Speaker Gingrich and Senator Dole took over the Congress, I went to New Hampshire and a man suggested -- a gentleman that unfortunately just passed away a couple of days ago, suggested that we appoint a commission.","So after Speaker Gingrich and Senator Dole took over the Congress, I went to New Hampshire and a man suggested -- a gentleman that unfortunately just passed away a couple of days ago, suggested that we appoint a commission. And I shook hands with him on it and I appointed my members, and the commission never met."
1980,there will be no negotiation with terrorists of any kind,AppealtoEmotion,Loaded Language,"Yes. I have no quarrel whatsoever with the things that have been done, because I believe it is high time that the civilized countries of the world made it plain that there is no room worldwide for terrorism; there will be no negotiation with terrorists of any kind. And while I have a last word here, I would like to correct a misstatement of fact by the President.","I have no quarrel whatsoever with the things that have been done, because I believe it is high time that the civilized countries of the world made it plain that there is no room worldwide for terrorism; there will be no negotiation with terrorists of any kind.","I have no quarrel whatsoever with the things that have been done, because I believe it is high time that the civilized countries of the world made it plain that there is no room worldwide for terrorism; there will be no negotiation with terrorists of any kind."
2000,fishing in troubled waters,AppealtoEmotion,Loaded Language,"He is a danger. We don't want him fishing in troubled waters in the Middle East. And it's going to be hard, it's going to be important to rebuild that coalition to keep the pressure on him.",We don't want him fishing in troubled waters in the Middle East.,We don't want him fishing in troubled waters in the Middle East.
2008,out - of - control spending and corruption,AppealtoEmotion,Loaded Language,"And the -- the worst symptom on this disease is what my friend, Tom Coburn, calls earmarking as a gateway drug, because it's a gateway. It's a gateway to out - of - control spending and corruption. And we have former members of Congress now residing in federal prison because of the evils of this earmarking and pork - barrel spending.",It's a gateway to out - of - control spending and corruption.,It's a gateway to out - of - control spending and corruption.
1984,"We are a government by the people, and when we move, it should be for very severe and extreme reasons that serve our national interests and end up with a stronger country behind us. It is only in that way that we can persevere.",AppealtoEmotion,Flag waving,"We need to be strong, we need to be prepared to use that strength, but we must understand that we are a democracy. We are a government by the people, and when we move, it should be for very severe and extreme reasons that serve our national interests and end up with a stronger country behind us. It is only in that way that we can persevere. Nicaragua What I'm referring to there is the mutual self - defense provisions that exist in the Inter - American treaty, the so - called Rio Pact, that permits the nations, our friends in that region, to combine to take steps -- diplomatic and otherwise -- to prevent Nicaragua, when she acts irresponsibly in asserting power in other parts outside of her border, to take those steps, whatever they might be, to stop it.","We are a government by the people, and when we move, it should be for very severe and extreme reasons that serve our national interests and end up with a stronger country behind us.","We are a government by the people, and when we move, it should be for very severe and extreme reasons that serve our national interests and end up with a stronger country behind us. It is only in that way that we can persevere."
2016,"I have the endorsement of the NRA, which I'm very proud of.",AppealtoAuthority,Without Evidence,"I agree with you. When a person is on a watch list or a no - fly list, and I have the endorsement of the NRA, which I'm very proud of. These are very, very good people, and they're protecting the Second Amendment.","When a person is on a watch list or a no - fly list, and I have the endorsement of the NRA, which I'm very proud of.","When a person is on a watch list or a no - fly list, and I have the endorsement of the NRA, which I'm very proud of."
2004,be pandering,AppealtoEmotion,Loaded Language,"I've never promised that. I'm not going to, because that would be pandering. You can't.","I'm not going to, because that would be pandering.","I'm not going to, because that would be pandering."
1984,"Everybody -- every economist, every businessman -- believes that. Your own Council of Economic Advisers -- Mr. Feldstein in his report told you that. Every chairman of the Finance and Ways and Means Committee, Republican leaders in the Senate and the House are telling you that. That deficit is ruining the long - term hopes for this economy.",AppealtoAuthority,Without Evidence,"And the result is interest costs that have never been seen before in terms of real charges, and it's attributable to the deficit. Everybody -- every economist, every businessman -- believes that. Your own Council of Economic Advisers -- Mr. Feldstein in his report told you that. Every chairman of the Finance and Ways and Means Committee, Republican leaders in the Senate and the House are telling you that. That deficit is ruining the long - term hopes for this economy. It's causing high interest rates.","Everybody -- every economist, every businessman -- believes that.","Everybody -- every economist, every businessman -- believes that. Your own Council of Economic Advisers -- Mr. Feldstein in his report told you that. Every chairman of the Finance and Ways and Means Committee, Republican leaders in the Senate and the House are telling you that. That deficit is ruining the long - term hopes for this economy."
1996,Drop dead. Drop dead.,AppealtoEmotion,Loaded Language,"Just say that area qualifies for no Capital Gains Tax, zero, nada. Drop dead. Drop dead. We don't want to change the legislation that would lower the tax rate in D. C., allow welfare mothers to take a job without any tax on the first 90 percent of her income and no Capital Gain Tax that should be done in every urban area of America that would make capital flow back, and you can't have capitalism, Al, without capital.",Drop dead.,Drop dead. Drop dead.
1960,Governor Rockefeller has been far more critical in June of our position in the world than I have been.,AppealtoAuthority,Without Evidence,"A Gallup Poll taken in February of this year asking the - in eight out of nine countries - they asked the people, who do they think would be ahead by 1970 militarily and scientifically, and a majority in eight of the nine countries said the Soviet Union would be by 1970. Governor Rockefeller has been far more critical in June of our position in the world than I have been. The Rockefeller Brothers report, General Ridgway, General Gavin, the Gaither Report, various reports of Congressional committees all indicate that the relative strength of the p- United States both militarily, politically, psychologically, and scientifically and industrially - the relative strength of the so- of United States compared to that of the Soviet Union and the Chinese Communists together - has deteriorated in the last eight years and we should know it, and the American people should be told the facts.",Governor Rockefeller has been far more critical in June of our position in the world than I have been.,Governor Rockefeller has been far more critical in June of our position in the world than I have been.
1976,I also - know that as far as the human beings on this earth are concerned that the nonproliferation of atomic weapons is number one.,AppealtoEmotion,Appeal to fear,"As a nuclear engineer myself, I know the limitations and capabilities of atomic power. I also - know that as far as the human beings on this earth are concerned that the nonproliferation of atomic weapons is number one. Only the last few days with the election approaching, has Mr. Ford taken any interest in a nonproliferation movement.",I also - know that as far as the human beings on this earth are concerned that the nonproliferation of atomic weapons is number one.,I also - know that as far as the human beings on this earth are concerned that the nonproliferation of atomic weapons is number one.
2000,"I just think, Jim, that this is an absolutely unique period in world history. The worldâ€™s coming together, as I said, they're looking to us.",AppealtoEmotion,Loaded Language,"And we have got to again lead by example and help these other countries that are trying to straighten out their situations find the tools in order to do it. I just think, Jim, that this is an absolutely unique period in world history. The worldâ€™s coming together, as I said, they're looking to us. And we have a fundamental choice to make.","I just think, Jim, that this is an absolutely unique period in world history.","I just think, Jim, that this is an absolutely unique period in world history. The worldâ€™s coming together, as I said, they're looking to us."
2004,Ask the people in the armed forces today.,AppealtoAuthority,Appeal to popular opinion,I also believe that it is -- one of the reasons we can't do it is we're overextended. Ask the people in the armed forces today. We've got Guards and Reserves who are doing double duties.,Ask the people in the armed forces today.,Ask the people in the armed forces today.
2000,Now you judge for yourselves whether or not that's fair.,AppealtoAuthority,Appeal to popular opinion,"But if everyone here in this audience was dead on in the middle of the middle - class, then the tax cuts for every single one of you all added up would be less than the tax cut his plan would give to just one member of that top wealthiest 1%. Now you judge for yourselves whether or not that's fair. Good.",Now you judge for yourselves whether or not that's fair.,Now you judge for yourselves whether or not that's fair.
1996,the world's greatest democratic free - enterprise system,AppealtoEmotion,Loaded Language,"You're told where to go to school, you're told what to buy with food stamps. It is a welfare system that is more like a third - world socialist country than what we would expect from the world's greatest democratic free - enterprise system. That must change, and it will under Bob Dole and Jack Kemp.",It is a welfare system that is more like a third - world socialist country than what we would expect from the world's greatest democratic free - enterprise system.,It is a welfare system that is more like a third - world socialist country than what we would expect from the world's greatest democratic free - enterprise system.
2000,I cast my lot with the people even when it means that you have to stand up to some powerful interests who are trying to turn the -- the policies and the laws to their advantage.,AppealtoAuthority,Appeal to popular opinion,"They have good people and they play constructive roles sometimes, but sometimes they get too much power. I cast my lot with the people even when it means that you have to stand up to some powerful interests who are trying to turn the -- the policies and the laws to their advantage. You can see it in this campaign.",I cast my lot with the people even when it means that you have to stand up to some powerful interests who are trying to turn the -- the policies and the laws to their advantage.,I cast my lot with the people even when it means that you have to stand up to some powerful interests who are trying to turn the -- the policies and the laws to their advantage.
1992,"And we would target it especially in areas that have been either depressed or which have lost a lot of defense related jobs. There are 200,000 people in California, for example, who have lost their defense related jobs.",AppealtoEmotion,Appeal to pity,"My plan would dedicate $20 billion a year in each of the next 4 years for investments in new transportation, communications, environmental clean - ups and new technologies for the 21st century. And we would target it especially in areas that have been either depressed or which have lost a lot of defense related jobs. There are 200,000 people in California, for example, who have lost their defense related jobs. They ought to be engaged in making high speed rail.",And we would target it especially in areas that have been either depressed or which have lost a lot of defense related jobs.,"And we would target it especially in areas that have been either depressed or which have lost a lot of defense related jobs. There are 200,000 people in California, for example, who have lost their defense related jobs."
2000,"Are we going to step up to the plate as a nation the way we did after World War II, the way that generation of heroes said okay, the United States is going to be the leader. And the world benefitted tremendously from the courage that they showed in those post - war years.",AppealtoEmotion,Loaded Language,"And we have a fundamental choice to make. Are we going to step up to the plate as a nation the way we did after World War II, the way that generation of heroes said okay, the United States is going to be the leader. And the world benefitted tremendously from the courage that they showed in those post - war years. I think that in the aftermath of the Cold War, it's time for us to do something very similar, to step up to the plate, to provide the leadership on the environment, leadership to make sure the world economy keeps moving in the right direction.","Are we going to step up to the plate as a nation the way we did after World War II, the way that generation of heroes said okay, the United States is going to be the leader.","Are we going to step up to the plate as a nation the way we did after World War II, the way that generation of heroes said okay, the United States is going to be the leader. And the world benefitted tremendously from the courage that they showed in those post - war years."
2004,"People tell me that when the health - care field is fully integrated with information technology, it'll wring some 20 percent of the cost out of the system.",AppealtoAuthority,Without Evidence,"We want there to be electronic medical records to cut down on error, as well as reduce cost. People tell me that when the health - care field is fully integrated with information technology, it'll wring some 20 percent of the cost out of the system. And finally, moving generic drugs to the market quicker.","People tell me that when the health - care field is fully integrated with information technology, it'll wring some 20 percent of the cost out of the system.","People tell me that when the health - care field is fully integrated with information technology, it'll wring some 20 percent of the cost out of the system."
2000,And I would just like to say that this debate in a way is a living tribute to Mel Carnahan because he loved the vigorous discussion of ideas in our democracy. He was a fantastic governor of Missouri.,AppealtoEmotion,Loaded Language,"Tipper and I were good friends with Mel and Randy, and I know that all of us here want to extend our sympathy and condolences to Jean and the family and to the Sifford family. And I would just like to say that this debate in a way is a living tribute to Mel Carnahan because he loved the vigorous discussion of ideas in our democracy. He was a fantastic governor of Missouri. This state became one of the top five in the nation for health care coverage for children under his leadership.",And I would just like to say that this debate in a way is a living tribute to Mel Carnahan because he loved the vigorous discussion of ideas in our democracy.,And I would just like to say that this debate in a way is a living tribute to Mel Carnahan because he loved the vigorous discussion of ideas in our democracy. He was a fantastic governor of Missouri.
2004,"They saw a man who was strong, who had conviction, who is resolute, who made it very clear that he will do everything that has to be done to find terrorists, to keep the American people safe.",AppealtoAuthority,Appeal to popular opinion,"They don't need the vice president or the president to tell them what they saw. They saw a man who was strong, who had conviction, who is resolute, who made it very clear that he will do everything that has to be done to find terrorists, to keep the American people safe. He laid out his plan for success in Iraq, made it clear that we were committed to success in Iraq.","They saw a man who was strong, who had conviction, who is resolute, who made it very clear that he will do everything that has to be done to find terrorists, to keep the American people safe.","They saw a man who was strong, who had conviction, who is resolute, who made it very clear that he will do everything that has to be done to find terrorists, to keep the American people safe."
2000,"I know the governor's not necessarily saying that but, you know, all of these flights that have come in, all of them have been in accordance with the sanctions regime, I'm told, except for three where they notified, and they're trying to break out of the box, there's no question about it.",AppealtoAuthority,False Authority,"I want to give robust support to the groups that are trying to overthrow Saddam Hussein, and I know there are allegations that they're too weak to do it, but that's what they said about the forces that were opposing Milosevic in Serbia, and you know, the policy of enforcing sanctions against Serbia has just resulted in a spectacular victory for democracy just in the past week, and it seems to me that having taken so long to see the sanctions work there, building upon the policy of containment that was successful over a much longer period of time against the former Soviet Union in the communist block, seems a little early to declare that we should give up on the sanctions. I know the governor's not necessarily saying that but, you know, all of these flights that have come in, all of them have been in accordance with the sanctions regime, I'm told, except for three where they notified, and they're trying to break out of the box, there's no question about it. I don't think they should be allowed to.","I know the governor's not necessarily saying that but, you know, all of these flights that have come in, all of them have been in accordance with the sanctions regime, I'm told, except for three where they notified, and they're trying to break out of the box, there's no question about it.","I know the governor's not necessarily saying that but, you know, all of these flights that have come in, all of them have been in accordance with the sanctions regime, I'm told, except for three where they notified, and they're trying to break out of the box, there's no question about it."
1992,The lifeblood of our economy is investment.,AppealtoEmotion,Loaded Language,The lifeblood of our economy is investment. And right now when we pay $350 -- we borrow $350 billion a year it saps the money markets and the private investors are not getting their share.,And right now when we pay $350 -- we borrow $350 billion a year it saps the money markets and the private investors are not getting their share.,And right now when we pay $350 -- we borrow $350 billion a year it saps the money markets and the private investors are not getting their share.
2008,We are less respected now than we were eight years ago or even four years ago.,AppealtoEmotion,Appeal to pity,And one of the things that I intend to do as president is to restore America's standing in the world. We are less respected now than we were eight years ago or even four years ago. And this is the greatest country on Earth.,We are less respected now than we were eight years ago or even four years ago.,We are less respected now than we were eight years ago or even four years ago.
1992,"I don't think there are any villains, but, boy, is the system rotten",AppealtoEmotion,Loaded Language,"They're all nice people, they're just in a bad system. I don't think there are any villains, but, boy, is the system rotten.","I don't think there are any villains, but, boy, is the system rotten.","I don't think there are any villains, but, boy, is the system rotten."
2012,the greatest engine of prosperity the world's ever known,AppealtoEmotion,Loaded Language,That's not what I believe. I believe that the free enterprise system is the greatest engine of prosperity the world's ever known. I believe in self - reliance and individual initiative and risk takers being rewarded.,I believe that the free enterprise system is the greatest engine of prosperity the world's ever known.,I believe that the free enterprise system is the greatest engine of prosperity the world's ever known.
2016,tremendous,AppealtoEmotion,Loaded Language,"And I don't believe she does have the stamina. To be president of this country, you need tremendous stamina. You have—wait a minute.","To be president of this country, you need tremendous stamina.","To be president of this country, you need tremendous stamina."
2016,I will knock the hell out of ISIS.,AppealtoEmotion,Loaded Language,"But it’s locker room talk, and it’s one of those things. I will knock the hell out of ISIS. We’re going to defeat ISIS.",I will knock the hell out of ISIS.,I will knock the hell out of ISIS.
2000,"We have the strongest military, and I'll do whatever is necessary, if I'm president, to make sure that it stays that way.",AppealtoEmotion,Loaded Language,"And we have to keep our military strong. We have the strongest military, and I'll do whatever is necessary, if I'm president, to make sure that it stays that way. But our real power comes, I think, from our values.","We have the strongest military, and I'll do whatever is necessary, if I'm president, to make sure that it stays that way.","We have the strongest military, and I'll do whatever is necessary, if I'm president, to make sure that it stays that way."
1992,"This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important.",AppealtoEmotion,Loaded Language,"They now have a plan to cover everybody and their premiums are two - thirds of the rest of the country. This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important. I just have to say something.",This is very important.,"This is very important. It's a big human problem and a devastating economic problem for America, and I'm going to send a plan to do this within the first 100 days of my presidency. It's terribly important."
1960,slum clearance,AppealtoEmotion,Loaded Language,More progress in the past eight years than in the whole eighty years before. He talks about the progress in the field of slum clearance and the like. We find four times as many projects undertaken and completed in this Administration than in the previous one.,He talks about the progress in the field of slum clearance and the like.,He talks about the progress in the field of slum clearance and the like.
2004,an aggressive effort,AppealtoEmotion,Loaded Language,"I agree, we shouldn't have quotas. But we ought to have an aggressive effort to make sure people are educated, to make sure when they get out of high school there's Pell Grants available for them, which is what we've done. We've expanded Pell Grants by a million students.","But we ought to have an aggressive effort to make sure people are educated, to make sure when they get out of high school there's Pell Grants available for them, which is what we've done.","But we ought to have an aggressive effort to make sure people are educated, to make sure when they get out of high school there's Pell Grants available for them, which is what we've done."
1992,It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages. And it's a big fight.,AppealtoEmotion,Loaded Language,"One thing I've called for that has been stymied, and I'll keep on working for it, is a whole financial reform legislation. It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages. And it's a big fight. And I don't want to give my friend Ross another shot at me here but I am fighting with the Congress to get this through.",It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages.,It is absolutely essential in terms of bringing our banking system and credit system into the new age instead of having it living back in the dark ages. And it's a big fight.
2000,"And I was able to do so with a lot of Democrat votes, nearly 50% of the Hispanic vote, about 27% of the African - American vote, because people know I'm a conservative person and a compassionate person.",AppealtoAuthority,Without Evidence,"There's only been one governor ever elected to back - to - back four - year terms, and that was me. And I was able to do so with a lot of Democrat votes, nearly 50% of the Hispanic vote, about 27% of the African - American vote, because people know I'm a conservative person and a compassionate person. So he can throw all the kinds of numbers around.","And I was able to do so with a lot of Democrat votes, nearly 50% of the Hispanic vote, about 27% of the African - American vote, because people know I'm a conservative person and a compassionate person.","And I was able to do so with a lot of Democrat votes, nearly 50% of the Hispanic vote, about 27% of the African - American vote, because people know I'm a conservative person and a compassionate person."
1984,The plane wasn't flying the way it was supposed to be; it was a waste of money.,AppealtoEmotion,Loaded Language,"It is true over 10 years ago I voted to delay production of the F - 14, and I'll tell you why. The plane wasn't flying the way it was supposed to be; it was a waste of money. Your definition of national strength is to throw money at the Defense Department.",The plane wasn't flying the way it was supposed to be; it was a waste of money.,The plane wasn't flying the way it was supposed to be; it was a waste of money.
2016,you acid wash them or bleach them,AppealtoEmotion,Loaded Language,"In my opinion, the people that have been long - term workers at the FBI are furious. There has never been anything like this, where e - mails—and you get a subpoena, you get a subpoena, and after getting the subpoena, you delete 33,000 e - mails, and then you acid wash them or bleach them, as you would say, very expensive process. So we’re going to get a special prosecutor, and we’re going to look into it, because you know what?","There has never been anything like this, where e - mails—and you get a subpoena, you get a subpoena, and after getting the subpoena, you delete 33,000 e - mails, and then you acid wash them or bleach them, as you would say, very expensive process.","There has never been anything like this, where e - mails—and you get a subpoena, you get a subpoena, and after getting the subpoena, you delete 33,000 e - mails, and then you acid wash them or bleach them, as you would say, very expensive process."
2008,the extraordinary honor,AppealtoEmotion,Loaded Language,"I'm absolutely convinced we can do it. I would ask for your vote, and I promise you that if you give me the extraordinary honor of serving as your president, I will work every single day, tirelessly, on your behalf and on the behalf of the future of our children. Thank you very much.","I would ask for your vote, and I promise you that if you give me the extraordinary honor of serving as your president, I will work every single day, tirelessly, on your behalf and on the behalf of the future of our children.","I would ask for your vote, and I promise you that if you give me the extraordinary honor of serving as your president, I will work every single day, tirelessly, on your behalf and on the behalf of the future of our children."
2004,frivolous,AppealtoEmotion,Loaded Language,I was in New Mexico the other day and met with a group of OB/GYN docs. And they were deeply concerned because they were fearful that there'd be another increase in malpractice insurance rates as a result of what they believe are frivolous lawsuits and that that would put them out of business. And one doctor indicated that her rates have gone up so much that she's now to the point where she is screening patients.,And they were deeply concerned because they were fearful that there'd be another increase in malpractice insurance rates as a result of what they believe are frivolous lawsuits and that that would put them out of business.,And they were deeply concerned because they were fearful that there'd be another increase in malpractice insurance rates as a result of what they believe are frivolous lawsuits and that that would put them out of business.
2008,"They're innocent victims of greed and excess on Wall Street and as well as Washington, D. C. And they're angry, and they have every reason to be angry.",AppealtoEmotion,Flag waving,"They're hurting, and they're angry. They're innocent victims of greed and excess on Wall Street and as well as Washington, D. C. And they're angry, and they have every reason to be angry. And they want this country to go in a new direction.","They're innocent victims of greed and excess on Wall Street and as well as Washington, D. C. And they're angry, and they have every reason to be angry.","They're innocent victims of greed and excess on Wall Street and as well as Washington, D. C. And they're angry, and they have every reason to be angry."
1992,strongly,AppealtoEmotion,Loaded Language,"I'll be glad to respond. I strongly support term limits for members of the US Congress. I believe it would return the government closer to the people, the way that Ross Perot is talking about.",I strongly support term limits for members of the US Congress.,I strongly support term limits for members of the US Congress.
1992,a sorry little post office that can't do anything right,AppealtoEmotion,Loaded Language,"Congress has gotten kind of institutionalized. For 38 years one party has controlled the House of Representatives, and the result, a sorry little post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together. We've got to do something about it.","For 38 years one party has controlled the House of Representatives, and the result, a sorry little post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together.","For 38 years one party has controlled the House of Representatives, and the result, a sorry little post office that can't do anything right and a bank that has more overdrafts than all the Chase Bank and Citibank put together."
2004,Prime Minister Allawi believes they want to.,AppealtoAuthority,Without Evidence,"I believe they want to. Prime Minister Allawi believes they want to. And so the best indication about when we can bring our troops home -- which I really want to do, but I don't want to do so for the sake of bringing them home; I want to do so because we've achieved an objective -- is to see the Iraqis perform and to see the Iraqis step up and take responsibility.",Prime Minister Allawi believes they want to.,Prime Minister Allawi believes they want to.
2004,"I visited some of those kids with no limbs today, because they didn't have the armor on those vehicles. They didn't have the right body armor.",AppealtoEmotion,Appeal to pity,"Ten thousand out of 12,000 Humvees aren't armored. I visited some of those kids with no limbs today, because they didn't have the armor on those vehicles. They didn't have the right body armor. I've met parents who've on the Internet gotten the armor to send their kids.","I visited some of those kids with no limbs today, because they didn't have the armor on those vehicles.","I visited some of those kids with no limbs today, because they didn't have the armor on those vehicles. They didn't have the right body armor."
2008,a vigorous supporter,AppealtoEmotion,Loaded Language,"Even FOX News disputes it, and that doesn't happen very often when it comes to accusations about me. So the fact of the matter is that if I occasionally have mistaken your policies for George Bush's policies, it's because on the core economic issues that matter to the American people, on tax policy, on energy policy, on spending priorities, you have been a vigorous supporter of President Bush. Now, you've shown independence -- commendable independence, on some key issues like torture, for example, and I give you enormous credit for that.","So the fact of the matter is that if I occasionally have mistaken your policies for George Bush's policies, it's because on the core economic issues that matter to the American people, on tax policy, on energy policy, on spending priorities, you have been a vigorous supporter of President Bush.","So the fact of the matter is that if I occasionally have mistaken your policies for George Bush's policies, it's because on the core economic issues that matter to the American people, on tax policy, on energy policy, on spending priorities, you have been a vigorous supporter of President Bush."
2008,an enormous burden,AppealtoEmotion,Loaded Language,"It means that we are helping state and local governments set up road projects and bridge projects that keep people in their jobs. And then long - term we've got to fix our health care system, we've got to fix our energy system that is putting such an enormous burden on families. You need somebody working for you and you've got to have somebody in Washington who is thinking about the middle class and not just those who can afford to hire lobbyists.","And then long - term we've got to fix our health care system, we've got to fix our energy system that is putting such an enormous burden on families.","And then long - term we've got to fix our health care system, we've got to fix our energy system that is putting such an enormous burden on families."
2016,"religion. He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn’t be trusted to be a judge because his parents were, quote, “Mexican.”He never apologized to the reporter that he mimicked and mocked on national television and our children were watching. And he never apologized for the racist lie that President Obama was not born in the United States of America. He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words.",AppealtoEmotion,Appeal to pity,"Obviously, I’m hoping to earn your vote, I’m hoping to be elected in November, and I can promise you, I will work with every American. religion. He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn’t be trusted to be a judge because his parents were, quote, “Mexican.”He never apologized to the reporter that he mimicked and mocked on national television and our children were watching. And he never apologized for the racist lie that President Obama was not born in the United States of America. He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words. I began this campaign because I was so tired of seeing such foolish things happen to our country.",religion.,"religion. He never apologized to the distinguished federal judge who was born in Indiana, but Donald said he couldn’t be trusted to be a judge because his parents were, quote, “Mexican.”He never apologized to the reporter that he mimicked and mocked on national television and our children were watching. And he never apologized for the racist lie that President Obama was not born in the United States of America. He owes the president an apology, he owes our country an apology, and he needs to take responsibility for his actions and his words."
1988,But we've got to keep going forward without killing off the engine and throwing people out of work.,AppealtoEmotion,Loaded Language,"And in that there are some Medicaid provisions that will be very helpful to the very kind of people we're talking about here. But we've got to keep going forward without killing off the engine and throwing people out of work. So, the answer lies, it seems to me, in full enforcement of the catastrophic program.",But we've got to keep going forward without killing off the engine and throwing people out of work.,But we've got to keep going forward without killing off the engine and throwing people out of work.
2004,"I think if you raise taxes during a recession, you head to depression.",AppealtoEmotion,Appeal to fear,"Everybody got tax relief, so that they get out of the recession. I think if you raise taxes during a recession, you head to depression. I come from the school of thought that says when people have more money in their pocket during economic times, it increases demand or investment.","I think if you raise taxes during a recession, you head to depression.","I think if you raise taxes during a recession, you head to depression."
2016,It’s an absolute disgrace.,AppealtoEmotion,Loaded Language,"It’s a disgrace. It’s an absolute disgrace. And actually—well, that was very interesting.",It’s an absolute disgrace.,It’s an absolute disgrace.
